Uroviricota	Hofneiviricota	Phixviricota	Lenarviricota	Preplasmiviricota	Produgelaviricota	Dividoviricota
PHROG_1030						
PHROG_1031						
PHROG_1032						
PHROG_1033						
PHROG_1034						
PHROG_1035						
PHROG_1036						
PHROG_1037						
PHROG_1038						
PHROG_1039						
PHROG_1040						
PHROG_1042						
PHROG_1043						
PHROG_1044						
PHROG_1045						
PHROG_1046						
PHROG_1047						
PHROG_1048						
PHROG_1049						
PHROG_1050						
PHROG_1051						
PHROG_1052						
PHROG_1053						
PHROG_1054						
PHROG_1055						
PHROG_1056						
PHROG_1057						
PHROG_1058						
PHROG_1059						
PHROG_1060						
PHROG_1061						
PHROG_1062						
PHROG_1063						
PHROG_1064						
PHROG_1065						
PHROG_1066						
PHROG_1067						
PHROG_1068						
PHROG_1069						
PHROG_1070						
PHROG_1071						
PHROG_1072						
PHROG_1073						
PHROG_1074						
PHROG_1075						
PHROG_1076						
PHROG_1077						
PHROG_1078						
PHROG_1079						
PHROG_1080						
PHROG_1081						
PHROG_1082						
PHROG_1083						
PHROG_1084						
PHROG_1085						
PHROG_1086						
PHROG_1087						
PHROG_1088						
PHROG_1089						
PHROG_1090						
PHROG_1091						
PHROG_1093						
PHROG_1094						
PHROG_1095						
PHROG_1096						
PHROG_1097						
PHROG_1098						
PHROG_1099						
PHROG_1100						
PHROG_1101						
PHROG_1102						
PHROG_1103						
PHROG_1104						
PHROG_1105						
PHROG_1106						
PHROG_1107						
PHROG_1108						
PHROG_1110						
PHROG_1111						
PHROG_1112						
PHROG_1113						
PHROG_1114						
PHROG_1116						
PHROG_1117						
PHROG_1118						
PHROG_1119						
PHROG_1120						
PHROG_1121						
PHROG_1122						
PHROG_1123						
PHROG_1124						
PHROG_1125						
PHROG_1126						
PHROG_1127						
PHROG_1128						
PHROG_1129						
PHROG_1130						
PHROG_1131						
PHROG_1132						
PHROG_1133						
PHROG_1134						
PHROG_1135						
PHROG_1136						
PHROG_1137						
PHROG_1138						
PHROG_1139						
PHROG_1140						
PHROG_1141						
PHROG_1142						
PHROG_1143						
PHROG_1145						
PHROG_1146						
PHROG_1148						
PHROG_1149						
PHROG_1150						
PHROG_1151						
PHROG_1152						
PHROG_1153						
PHROG_1154						
PHROG_1155						
PHROG_1156						
PHROG_1157						
PHROG_1158						
PHROG_1160						
PHROG_1161						
PHROG_1162						
PHROG_1163						
PHROG_1164						
PHROG_1165						
PHROG_1166						
PHROG_1167						
PHROG_1168						
PHROG_1169						
PHROG_1171						
PHROG_1172						
PHROG_1173						
PHROG_1174						
PHROG_1175						
PHROG_1176						
PHROG_1177						
PHROG_1178						
PHROG_1179						
PHROG_1180						
PHROG_1181						
PHROG_1182						
PHROG_1183						
PHROG_1184						
PHROG_1185						
PHROG_1186						
PHROG_1187						
PHROG_1189						
